player_ID,Player,lg_ID,year_ID,Pos,Age,Tm,G,MP,OWS,DWS,WS,WSAA
schrode01,Dennis Schroder,NBA,2017,PG,23,ATL,77,2432,1.1,2.4,3.5,-1.631316979
millspa01,Paul Millsap,NBA,2017,PF,31,ATL,67,2285,2.7,3.7,6.4,1.578840749
howardw01,Dwight Howard,NBA,2017,C,31,ATL,72,2151,3.6,4.4,8,3.461569563
hardati02,Tim Hardaway,NBA,2017,SG,24,ATL,77,2094,2.6,2,4.5,0.081834805
bazemke01,Kent Bazemore,NBA,2017,SF,27,ATL,71,1915,-0.7,2.7,2,-2.040490138
sefolth01,Thabo Sefolosha,NBA,2017,SF,32,ATL,60,1556,0.7,2.6,3.3,0.016969893
delanma01,Malcolm Delaney,NBA,2017,PG,27,ATL,70,1200,-1.1,1.2,0.1,-2.431899825
muscami01,Mike Muscala,NBA,2017,C,25,ATL,67,1174,1.5,1.5,3.1,0.622958004
princta02,Taurean Waller-Prince,NBA,2017,SF,22,ATL,56,909,-0.5,1.4,0.9,-1.017914118
korveky01,Kyle Korver,NBA,2017,SG,35,ATL,32,894,0.7,0.9,1.6,-0.28626537
humphkr01,Kris Humphries,NBA,2017,PF,31,ATL,54,650,0.6,1,1.6,0.228554261
ilyaser01,Ersan Ilyasova,NBA,2017,PF,29,ATL,23,579,0.5,0.8,1.4,0.178358334
dunlemi02,Mike Dunleavy,NBA,2017,SF,36,ATL,27,424,0.7,0.4,1.1,0.205395395
bembrde01,DeAndre' Bembry,NBA,2017,SF,22,ATL,36,339,-0.1,0.4,0.2,-0.515261701
scottmi01,Mike Scott,NBA,2017,PF,28,ATL,18,195,-0.3,0.2,0,-0.411433722
caldejo01,Jose Calderon,NBA,2017,PG,35,ATL,14,188,-0.1,0.2,0.1,-0.296664306
kellyry01,Ryan Kelly,NBA,2017,PF,25,ATL,15,89,-0.1,0.2,0.1,-0.08778257
pattela01,Lamar Patterson,NBA,2017,SG,25,ATL,5,40,-0.2,0,-0.1,-0.184396661
nealga01,Gary Neal,NBA,2017,SG,32,ATL,2,18,-0.1,0,-0.1,-0.137978497
tavarwa01,Walter Tavares,NBA,2017,C,24,ATL,1,4,0,0,0,-0.008439666
thomais02,Isaiah Thomas,NBA,2017,PG,27,BOS,74,2517,10.8,1.5,12.3,6.989340116
smartma01,Marcus Smart,NBA,2017,PG,22,BOS,77,2341,0.3,2.6,2.9,-2.039314576
crowdja01,Jae Crowder,NBA,2017,SF,26,BOS,70,2272,4,2.3,6.4,1.606269664
horfoal01,Al Horford,NBA,2017,C,30,BOS,66,2139,3.6,2.5,6.1,1.586888561
bradlav01,Avery Bradley,NBA,2017,SG,26,BOS,53,1771,0.9,1.9,2.8,-0.936662159
johnsam01,Amir Johnson,NBA,2017,PF,29,BOS,78,1574,2.8,2,4.8,1.478991396
olynyke01,Kelly Olynyk,NBA,2017,C,25,BOS,73,1500,2.2,1.8,4,0.835125218
brownja02,Jaylen Brown,NBA,2017,SF,20,BOS,76,1301,0.3,1.2,1.5,-1.245001394
roziete01,Terry Rozier,NBA,2017,PG,22,BOS,72,1249,0,1.3,1.3,-1.335285735
jerebjo01,Jonas Jerebko,NBA,2017,PF,29,BOS,76,1213,0.8,1.2,2,-0.55932874
greenge01,Gerald Green,NBA,2017,SG,31,BOS,46,517,0.1,0.4,0.5,-0.590826841
zellety01,Tyler Zeller,NBA,2017,C,27,BOS,49,506,0.4,0.5,1,-0.06761776
youngja01,James Young,NBA,2017,SG,21,BOS,28,217,0.1,0.2,0.4,-0.057851885
mickejo01,Jordan Mickey,NBA,2017,PF,22,BOS,25,141,-0.1,0.2,0.1,-0.197498229
jacksde01,Demetrius Jackson,NBA,2017,PG,22,BOS,5,17,0.1,0,0.1,0.064131419
lopezbr01,Brook Lopez,NBA,2017,C,28,BRK,74,2188,3,1.8,4.8,0.183502652
booketr01,Trevor Booker,NBA,2017,PF,29,BRK,71,1754,1,2.2,3.2,-0.500793578
kilpase01,Sean Kilpatrick,NBA,2017,SG,27,BRK,70,1754,0.3,1.1,1.5,-2.200793578
holliro01,Rondae Hollis-Jefferson,NBA,2017,SF,22,BRK,76,1693,0.6,2,2.6,-0.97208867
whiteis01,Isaiah Whitehead,NBA,2017,PG,21,BRK,71,1592,-1.5,0.9,-0.6,-3.958987102
bogdabo02,Bojan Bogdanovic,NBA,2017,SF,27,BRK,55,1482,1.1,0.6,1.7,-1.426896284
dinwisp01,Spencer Dinwiddie,NBA,2017,PG,23,BRK,57,1286,1.9,0.9,2.8,0.086647354
foyera01,Randy Foye,NBA,2017,SG,33,BRK,67,1249,-0.3,0.7,0.3,-2.335285735
leverca01,Caris LeVert,NBA,2017,SF,22,BRK,55,1184,1,0.9,1.9,-0.598141161
harrijo01,Joe Harris,NBA,2017,SG,25,BRK,52,1138,0.1,0.6,0.8,-1.601085001
hamilju01,Justin Hamilton,NBA,2017,C,26,BRK,62,1130,1,1,2,-0.384205669
linje01,Jeremy Lin,NBA,2017,PG,28,BRK,35,849,1,0.8,1.8,0.008680874
acyqu01,Quincy Acy,NBA,2017,PF,26,BRK,32,510,0.6,0.5,1.1,0.023942574
scolalu01,Luis Scola,NBA,2017,PF,36,BRK,36,461,0.4,0.4,0.8,-0.172671516
bennean01,Anthony Bennett,NBA,2017,PF,23,BRK,23,264,0.3,0.2,0.5,-0.057017962
mcdankj01,K.J. McDaniels,NBA,2017,SF,23,BRK,18,258,0.1,0.3,0.3,-0.244358462
ferreyo01,Yogi Ferrell,NBA,2017,PG,23,BRK,10,151,-0.2,0,-0.2,-0.518597395
goodwar01,Archie Goodwin,NBA,2017,SG,22,BRK,10,141,0.4,0.1,0.5,0.202501771
nichoan01,Andrew Nicholson,NBA,2017,PF,27,BRK,8,80,0,0.1,0.1,-0.068793322
mcculch01,Chris McCullough,NBA,2017,PF,21,BRK,14,72,0.1,0,0.1,-0.05191399
vasqugr01,Greivis Vasquez,NBA,2017,PG,30,BRK,3,39,0,0,0,-0.082286744
butleji01,Jimmy Butler,NBA,2017,SF,27,CHI,74,2743,9.8,3.4,13.2,7.412498983
lopezro01,Robin Lopez,NBA,2017,C,28,CHI,79,2218,1.7,2.2,3.9,-0.779794844
rondora01,Rajon Rondo,NBA,2017,PG,30,CHI,68,1823,-0.5,2.5,2,-1.846377818
wadedw01,Dwyane Wade,NBA,2017,SG,35,CHI,58,1748,1.1,2.3,3.3,-0.388134079
mirotni01,Nikola Mirotic,NBA,2017,PF,25,CHI,68,1630,1.2,2.3,3.4,-0.039163929
gibsota01,Taj Gibson,NBA,2017,PF,31,CHI,55,1502,1.4,1.8,3.1,-0.069094615
mcderdo01,Doug McDermott,NBA,2017,SF,25,CHI,44,1078,1.1,0.7,1.8,-0.47449001
feliccr01,Cristiano Felicio,NBA,2017,C,24,CHI,64,1003,2.1,1.1,3.2,1.083753729
grantje02,Jerian Grant,NBA,2017,PG,24,CHI,61,979,1.2,1,2.2,0.134391726
portibo01,Bobby Portis,NBA,2017,PF,21,CHI,62,961,1,1.1,2,-0.027629777
valende01,Denzel Valentine,NBA,2017,SG,23,CHI,55,960,-0.5,1,0.4,-1.62551986
cartemi01,Michael Carter-Williams,NBA,2017,PG,25,CHI,43,826,-1,1.1,0.1,-1.642791046
zipsepa01,Paul Zipser,NBA,2017,SF,22,CHI,42,789,-0.5,0.7,0.2,-1.464724135
canaais01,Isaiah Canaan,NBA,2017,SG,25,CHI,38,585,-0.1,0.5,0.4,-0.834301165
lauvejo01,Joffrey Lauvergne,NBA,2017,C,25,CHI,18,228,-0.2,0.2,0,-0.481060967
payneca01,Cameron Payne,NBA,2017,PG,22,CHI,11,142,-0.4,0.1,-0.3,-0.599608146
morroan01,Anthony Morrow,NBA,2017,SG,31,CHI,7,77,0.2,0,0.3,0.137536428
hunterj01,R.J. Hunter,NBA,2017,SG,23,CHI,3,9,0,0,0,-0.018989249
walkeke02,Kemba Walker,NBA,2017,PG,26,CHO,79,2739,5.8,2.2,8.1,2.320938649
batumni01,Nicolas Batum,NBA,2017,SG,28,CHO,75,2578,1.8,2.8,4.6,-0.839364791
kiddgmi01,Michael Kidd-Gilchrist,NBA,2017,SF,23,CHO,79,2298,2.6,3,5.7,0.851411835
willima02,Marvin Williams,NBA,2017,PF,30,CHO,74,2255,2.5,2.5,5,0.242138245
kaminfr01,Frank Kaminsky,NBA,2017,C,23,CHO,73,1908,0.7,1.9,2.6,-1.425720722
belinma01,Marco Belinelli,NBA,2017,SG,30,CHO,74,1778,2,1.2,3.2,-0.551431574
zelleco01,Cody Zeller,NBA,2017,PF,24,CHO,60,1676,3.4,2.2,5.5,1.963779911
lambje01,Jeremy Lamb,NBA,2017,SG,24,CHO,60,1090,1.4,1.3,2.7,0.400190992
sessira01,Ramon Sessions,NBA,2017,PG,30,CHO,50,811,0.3,0.6,0.9,-0.811142299
hibbero01,Roy Hibbert,NBA,2017,C,30,CHO,42,671,1,0.8,1.8,0.384246014
hawessp01,Spencer Hawes,NBA,2017,PF,28,CHO,35,626,0.3,0.8,1.1,-0.220807742
roberbr01,Brian Roberts,NBA,2017,PG,31,CHO,39,361,0.3,0.2,0.5,-0.261679864
grahatr01,Treveon Graham,NBA,2017,SG,23,CHO,25,148,0.2,0.1,0.3,-0.012267645
plumlmi01,Miles Plumlee,NBA,2017,C,28,CHO,11,128,0.1,0.2,0.3,0.029930685
weberbr01,Briante Weber,NBA,2017,PG,24,CHO,11,114,0.2,0.1,0.3,0.059469517
woodch01,Christian Wood,NBA,2017,PF,21,CHO,12,94,0.2,0.1,0.3,0.101667847
obryajo01,Johnny O'Bryant,NBA,2017,PF,23,CHO,4,34,0,0,0.1,0.028262838
tobeymi01,Mike Tobey,NBA,2017,C,22,CHO,2,25,0,0,0,-0.052747913
harriaa01,Aaron Harrison,NBA,2017,SG,22,CHO,5,17,-0.1,0,-0.1,-0.135868581
jamesle01,LeBron James,NBA,2017,SF,32,CLE,73,2748,9.6,3,12.6,6.8019494
irvinky01,Kyrie Irving,NBA,2017,PG,24,CLE,71,2480,7.2,1.5,8.7,3.467407028
thomptr01,Tristan Thompson,NBA,2017,C,25,CLE,77,2318,4.9,2.3,7.2,2.309213504
shumpim01,Iman Shumpert,NBA,2017,SG,26,CLE,73,1850,0.7,1.3,2,-1.903345564
loveke01,Kevin Love,NBA,2017,PF,28,CLE,58,1806,3.9,2.4,6.3,2.489490763
jefferi01,Richard Jefferson,NBA,2017,SF,36,CLE,76,1549,1.3,0.7,2.1,-1.168260691
